aa	Afaraf
aaa	Ghotuo
aab	Alumu-Tesu
aac	Ari
aac-x-siraul	Siraul
aad	Amal
aae	Arbëreshë Albanian
aaf	Aranadan
aag	Ambrak
aah	Abu' Arapesh
aai	Arifama-Miniafia
aak	Ankave
aal	Afaɗə
aan	Anambé
aao	لهجة صحراوية
aap	Pará Arára
aaq	Eastern Abnaki
aas	Aasáx
aat	Arvanitika Albanian
aau	Abau
aaw	Solong
aax	Mandobo Atas
aaz	Amarasi
aaz-x-amarasibarat	Amarasi Barat
ab	аҧсуа бызшәа, аҧсшәа
aba	Abé
abb	Bankon
abc	Ambala Ayta
abd	Manide
abe	Western Abnaki
abf	Abai Sungai
abg	Abaga
abh	Tajiki Arabic
abi	Abidji
abl	Lampung Nyo
abm	Abanyom
abn	Abua
abo	Abon
abp	Abellen Ayta
abq	абаза
abr	Abron
abs	Ambonese Malay
abt	Ambulas
abu	Abure
abv	العربية البحرانية
abw	Pal
abx	Inabaknon
aby	Aneme Wake
abz	Abui
aca	Achagua
acb	Áncá
acd	Gikyode
ace	Achinese
acf	Lesser Antillean French Creole
ach	Acoli
ach-SS-acholi	Acholi
acm	لهجة عراقية
acm-x-baghdadi	لهجة بغدادية
acm-x-lebarabic	Lebanese Arabic
acn	阿昌
acp	Eastern Acipa
acq	لهجة تعزية-عدنية
acr	Achi
act	Achterhoeks
acu	Achuar-Shiwiar
acv	Achumawi
acw	حجازي
acx	لهجة عمانية
acy	Cypriot Arabic
acz	Garme
ada	Adangme
adb	Adabe
add	Dzodinka
ade	Adele
adf	لهجة ظفارية
adg	Andegerebinha
adh	Adhola
adi	Adi
adi-x-adikarna	Adi Karnataka
adi-x-bokar	Bokar
adi-x-libo	Libo
adi-x-ramo	Ramo
adi-x-zadiboli	Zadi Boli
adj	Adioukrou
adl	Galo
adn	Adang
ado	Abu
adq	Adangbe
adr	Adonara
adr-x-waiwerang	Waiwerang
ads	Adamorobe Sign Language
adt	Adnyamathanha
adu	Aduge
adw	Amundava
adx	ཨ་མདོ་སྐད་
ady	Адыгабзэ
ady-x-syriadyghe	Адыгабзэ
adz	Adzera
aeb	Tunisian Arabic
aec	لهجة صعيدية
aed	Argentine Sign Language
aee	Northeast Pashai
aek	Haeke
ael	Ambele
aem	Arem
aen	Armenian Sign Language
aeq	آیر زبان
aer	Eastern Arrernte
aes	Alsea
aeu	阿克
aew	Ambakich
aey	Amele
aey-x-efu	Efu
aey-x-elien	Elien
aey-x-eranu	Eranu
aey-x-haya	Haya
aey-x-huar	Huar
aey-x-jagalaha	Jagahala
aey-x-midwagi	Mid Wagi
aey-x-ohu	Ohu
aez	Aeka
aez-x-sauga	Sauga
af	Afrikaans
afb	خليجي
afd	Andai
afe	Putukwam
afg	Afghan Sign Language
afh	Afrihili
afi	Akrukay
afk	Nanubae
afn	Defaka
afo	Eloyi
afp	Tapei
afs	Afro-Seminole Creole
aft	Afitti
afu	Awutu
afz	Obokuitai
aga	Aguano
agb	Legbo
agc	Agatu
agd	Agarabi
agd-x-agarabibus	Agarabi Bus
agd-x-agarabkain	Agarabi Kainantu
agd-x-agarabyonk	Agarabi Yonki
agd-x-kona	Agarabi Kona
agd-x-name	Agarabi Name
agd-x-namel	Agarabi Namel
age	Angal
agf	Arguni
agg	Angor
agh	Ngelima
agh-x-balema	Balema
agi	Agariya
agj	Argobba
agk	Isarog Agta
agl	Fembe
agm	Angaataha
agn	Agutaynen
ago	Tainae
agq	Aghem
agr	Aguaruna
ags	Esimbi
agt	Central Cagayan Agta
agu	Aguacateco
agv	Remontado Dumagat
agw	Kahua
agx	агъул чӀал
agy	Southern Alta
agz	Mt. Iriga Agta
aha	Ahanta
aha-x-anrendamaa	Anrendamaa
ahb	Axamb
ahg	Qimant
ahh	Aghu
ahi	Tiagbamrin Aizi
ahk	Akha
ahl	Igo
ahm	Mobumrin Aizi
ahn	Àhàn
aho	Ahom
ahp	Aproumu Aizi
ahr	Ahirani
ahs	Ashe
aht	Ahtena
aia	Arosi
aib	艾努语 (China)
aic	Ainbai
aie	Amara
aif	Agi
aig	Antigua and Barbuda English
aig-x-anguilcreol	Anguillan English
aih	锦话
aii	ܐܬܘܪܝܐ
aij	לשניד נשן
aik	Ake
ail	Aimele
aim	Aimol
ain	アイヌ語 (Japan)
aio	Aiton
aip	Burumakok
aiq	آیماقی
air	Airoran
ais	Nataoran Amis
aiw	Aari
aix	Aighon
aiy	Ali
aja	Aja (Sudan)
ajg	Aja (Benin)
ajg-x-adjtalagbe	Adja Talagbe
aji	Ajië
ajn	Andajin
ajp	South Levantine Arabic
ajt	ערבית יהודית-טוניסאי
aju	מרוקאית יהודית
ajz	Amri Karbi
ak	Akan
akb	Batak Angkola
akc	Mpur
akd	Ukpet-Ehom
ake	Akawaio
akf	Akpa
akg	Anakalangu
akh	Angal Heneng
aki	Aiome
akk	Akkadian
akl	Aklanon
ako	Akurio
akp	Siwu
akq	Ak
akr	Araki
aks	Akaselem
akt	Akolet
aku	Ukum
akv	Ашвaлъи мицIи
akw	Akwa
akz	Alabama
ala	Alago
alc	Qawasqar
ald	Alladian
ale	Aleut
alf	Alege
alh	Alawa
ali	Amaimon
ali-x-sagulam	Sagulam
alj	Alangan
alk	Alak
alk-alakatapue	Alak Atapue
alk-x-alakatapue	Alak Atapue
alk-x-alakxekong	Alak Xekong
all	Allar
alm	Amblong
aln	Gheg Albanian
alo	Larike-Wakasihu
alp	Alune
alq	Algonquin
alr	Алюторский
als	Tosk Albanian
alt	Горно-алтайские
alu	'Are'are
alw	Alaba-K’abeena
alx	Amol
aly	Alyawarr
alz	Alur
am	አማርኛ
ama	Amanayé
amb	Ambo
amc	Amahuaca
ame	Yanesha'
amf	Hamer-Banna
amg	Amurdak
ami	Amis
amj	Amdang
amk	Ambai
aml	War-Jaintia
amm	Ama (Papua New Guinea)
amn	Amanab
amn-x-awaimona	Awai Mona
amo	Amo
amp	Alamblak
amq	Amahai
amr	Amarakaeri
ams	奄美大島北部方言
amt	Amto
amu	Guerrero Amuzgo
amv	Ambelau
amw	ܐܪܡܝܬ
amx	Anmatyerre
amy	Ami
an	aragonés
ana	Andaqui
anc	Ngas
and	Ansus
ane	Xârâcùù
anf	Animere
ang	Old English (ca. 450-1100)
anh	Nend
ani	Андийский
anj	Anor
ank	Goemai
anl	Anu-Hkongso Chin
anl-x-khawngtu	Khawng Tu
anm	Anal
ann	Obolo
ano	Andoque
anp	Angika
anq	Jarawa (India)
anr	Andh
ant	Antakarinya
anu	Anuak
anv	Denya
anw	Anaang
anx	Andra-Hus
any	Anyin
any-x-agnibona	Agni Bona
anz	Anem
aoa	Angolar
aob	Abom
aoc	Pemon
aod	Andarum
aoe	Angal Enen
aof	Bragat
aog	Angoram
aoi	Anindilyakwa
aoj	Mufian
aok	Arhö
aol	Alor
